page_url,hijri_year,hijri_month_name,section_type,gregorian_date,country,city,province,obs_time_text,obs_relative_to_sunset,seen_any,seen_naked_eye,seen_binocular,seen_telescope,seen_camera,attempted_naked_eye,attempted_binocular,attempted_telescope,attempted_camera,sky_cloud_text,weather_text,raw_text,comment_text
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الإمارات,AKO,Abu Dhabi,بعد غروب الشمس,after_sunset,False,,,,False,False,False,False,True,صافية,مغبرة أو ضباب,"1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع المهندس محمد عودة من مدينة AKO في محافظة Abu Dhabi ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت مغبرة أو ضباب ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم تتم رؤية الهلال باستخدام الكاميرا وقال عضو المشروع المهندس محمد عودة ""تمت محاولة تحري الهلال لعدة ساعات من الساعة 6 صباحا وحتى غروب القمر ولعدة ساعات، ولكن لم نتمكن من رؤية أو تصوير الهلال حتى باستخدام تقنية التصوير الفلكي. صفاء الغلاف الجوي (AOD) 0.6.""",تمت محاولة تحري الهلال لعدة ساعات من الساعة 6 صباحا وحتى غروب القمر ولعدة ساعات، ولكن لم نتمكن من رؤية أو تصوير الهلال حتى باستخدام تقنية التصوير الفلكي. صفاء الغلاف الجوي (AOD) 0.6.
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الجزائر,أڤمار,وادي سوف,بعد غروب الشمس,after_sunset,False,False,False,,,True,True,False,False,غائمة جزئيا,صافية,"1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد مسعود كشيدة من مدينة أڤمار في محافظة وادي سوف ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت صافية ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع السيد مسعود كشيدة ""بعد محاولة الرصد ونظرا لحالة الأفق الغربي لم نتمكن من رصد الهلال حيث اختفى قرص الشمس خلف هالة الغيوم العليا قبل وقت غروبها الفعلي بحوالي 5 دقائق""",بعد محاولة الرصد ونظرا لحالة الأفق الغربي لم نتمكن من رصد الهلال حيث اختفى قرص الشمس خلف هالة الغيوم العليا قبل وقت غروبها الفعلي بحوالي 5 دقائق
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الجزائر,كوينين,الوادي,بعد غروب الشمس,after_sunset,False,False,False,,,True,True,False,False,غائمة جزئيا,مغبرة جدا أو ضباب كثيف,"2 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد عبد اللطيف فارح من مدينة كوينين في محافظة الوادي ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع السيد عبد اللطيف فارح ""لم نتمكن نحن أعضاء النادي الفلكي بكوينين و جمعية المرزم الفلكية السوفية بالوادي من مرصدنا بكوينين من رؤية هلال شهر محرم اليوم الأربعاء """,لم نتمكن نحن أعضاء النادي الفلكي بكوينين و جمعية المرزم الفلكية السوفية بالوادي من مرصدنا بكوينين من رؤية هلال شهر محرم اليوم الأربعاء
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الجزائر,برج عمر ادريس,إليزي,بعد غروب الشمس,after_sunset,False,False,False,,False,True,True,False,True,غائمة جزئيا,مغبرة أو ضباب,3 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد عمارة بن محمد الجباري قرح من مدينة برج عمر ادريس في محافظة إليزي ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت مغبرة أو ضباب ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم تتم رؤية الهلال باستخدام الكاميرا,
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,ألمانيا,Weinheim,Baden Württemberg,بعد غروب الشمس,after_sunset,False,False,False,False,False,True,True,True,True,صافية,مغبرة أو ضباب,"1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد حسين سينتورك من مدينة Weinheim في محافظة Baden Württemberg ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت مغبرة أو ضباب ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم تتم رؤية الهلال بالمرقب ولم تتم رؤية الهلال باستخدام الكاميرا وقال عضو المشروع السيد حسين سينتورك ""I tried to observe the crescent moon between 7:00 PM and 10:00 PM using a telescope and an astro camera. However, a sighting was not possible.""","I tried to observe the crescent moon between 7:00 PM and 10:00 PM using a telescope and an astro camera. However, a sighting was not possible."
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,المغرب,بنسليمان,بنسليمان,بعد غروب الشمس,after_sunset,False,False,,,,True,False,False,False,غائمة جزئيا,صافية جدا,1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع الدكتور الحسن طالبي من مدينة بنسليمان في محافظة بنسليمان ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت صافية جدا ولم تتم رؤية الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا,
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,المملكة العربية السعودية,المدينة المنورة,المدينة المنورة,بعد غروب الشمس,after_sunset,False,False,,,,True,False,False,False,غائمة جزئيا,صافية,1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد سامي الحربي من مدينة المدينة المنورة في محافظة المدينة المنورة ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت صافية ولم تتم رؤية الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا,
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الولايات المتحدة,Blacksburg,Virginia,بعد غروب الشمس,after_sunset,False,False,False,,,True,True,False,False,غائمة جزئيا,مغبرة جدا أو ضباب كثيف,"1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع الدكتور جواد تورابنيجاد من مدينة Blacksburg في محافظة Virginia ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع الدكتور جواد تورابنيجاد ""I arrived at my sighting location at sunset. The lower section of the western horizon was cloudy and very hazy, making it unsuitable for sighting a very young moon. As a result, no serious sighting effort was undertaken. I waited there for 20 minutes and left 29 minutes before moonset.""","I arrived at my sighting location at sunset. The lower section of the western horizon was cloudy and very hazy, making it unsuitable for sighting a very young moon. As a result, no serious sighting effort was undertaken. I waited there for 20 minutes and left 29 minutes before moonset."
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,الولايات المتحدة,برادفورد Bradford,ماساتشوستس Massachusetts,قبل غروب الشمس,before_sunset,True,,,,True,False,False,False,True,غائمة جزئيا,صافية,2 . وقت الرصد: قبل غروب الشمس . تم تصوير الهلال : ذكر عضو المشروع السيد هيثم حمدي من مدينة برادفورد Bradford في محافظة ماساتشوستس Massachusetts ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت صافية ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب وتمت رؤية الهلال باستخدام الكاميرا,
https://astronomycenter.net/icop/muh47.html,,,first_crescent,الأربعاء 25 يونيو 2025,اليمن,سيئون,حضرموت,بعد غروب الشمس,after_sunset,False,False,False,,False,True,True,False,True,صافية,مغبرة أو ضباب,1 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد عبدالله غيثان من مدينة سيئون في محافظة حضرموت ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت مغبرة أو ضباب ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم تتم رؤية الهلال باستخدام الكاميرا,
